"categoria_1","categoria_2","categoria_3","categoria_4","anio","componente","emision"
"procesos industriales","industria de los metales","producción de ferroaleaciones","producción de ferroaleaciones",1996,"co2",268.3843
"procesos industriales","industria de los metales","producción de aluminio","producción de aluminio",1996,"co2",92.127
"uso del suelo, cambio de uso del suelo y silvicultura","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa",1996,"co2",15844.6624107503
"uso del suelo, cambio de uso del suelo y silvicultura","conversion de bosques y pastizales","conversion de bosques y pastizales","conversion de bosques y pastizales",1996,"co2",59430.5076879205
"uso del suelo, cambio de uso del suelo y silvicultura","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas",1996,"co2",-13144.058344227
"uso del suelo, cambio de uso del suelo y silvicultura","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos",1996,"co2",26916.0271809051
"desechos (ipcc 2006)","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos",1996,"co2",216.16721617017
"bunkers","aviación internacional","aviación internacional","aviación internacional",1996,"co2",2326.88793284559
"bunkers","navegación internacional","navegación internacional","navegación internacional",1996,"co2",75.696066007993
"emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa",1996,"co2",36032.8587666667
"energía","consumo de combustibles fósiles","producción de electricidad","producción de electricidad",1997,"co2",91529.51324
"energía","consumo de combustibles fósiles","consumo propio","consumo propio",1997,"co2",32097.630515984
"energía","consumo de combustibles fósiles","hierro y acero","hierro y acero",1997,"co2",11357.4419137055
"energía","consumo de combustibles fósiles","metales no ferrosos","metales no ferrosos",1997,"co2",260.711946
"energía","consumo de combustibles fósiles","productos químicos","productos químicos",1997,"co2",17166.538983
"energía","consumo de combustibles fósiles","pulpa, papel e impresión","pulpa, papel e impresión",1997,"co2",2211.30327
"energía","consumo de combustibles fósiles","procesamiento de alimentos, bebidas y tabaco","procesamiento de alimentos, bebidas y tabaco",1997,"co2",4068.0816495
"energía","consumo de combustibles fósiles","otros","otros",1997,"co2",21213.7370335
"energía","consumo de combustibles fósiles","aviación civil","aviación civil",1997,"co2",4331.37053738143
"energía","consumo de combustibles fósiles","autotransporte","autotransporte",1997,"co2",92152.826931
"energía","consumo de combustibles fósiles","ferrocarril","ferrocarril",1997,"co2",2040.735906
"energía","consumo de combustibles fósiles","navegación","navegación",1997,"co2",1883.43684991075
"energía","consumo de combustibles fósiles","comercio y sectores institucionales","comercio y sectores institucionales",1997,"co2",6025.946652
"energía","consumo de combustibles fósiles","residencial","residencial",1997,"co2",21300.2811945
"energía","consumo de combustibles fósiles","agricultura, pesca y forestal","agricultura, pesca y forestal",1997,"co2",5797.406934
"procesos industriales","industria de los minerales","producción de cemento","producción de cemento",1997,"co2",14718.9059135
"procesos industriales","industria de los minerales","producción de cal","producción de cal",1997,"co2",2469.6979
"procesos industriales","industria de los minerales","uso de piedra caliza y dolomita","uso de piedra caliza y dolomita",1997,"co2",7547.597318427
"procesos industriales","industria de los minerales","producción y uso de carbonato de sodio","producción y uso de carbonato de sodio",1997,"co2",120.35
"procesos industriales","industria química","producción de amoniaco","producción de amoniaco",1997,"co2",3196.5
"procesos industriales","industria de los metales","producción de hierro y acero","producción de hierro y acero",1997,"co2",6632.0656
"procesos industriales","industria de los metales","producción de ferroaleaciones","producción de ferroaleaciones",1997,"co2",291.1109
"procesos industriales","industria de los metales","producción de aluminio","producción de aluminio",1997,"co2",99.534
"uso del suelo, cambio de uso del suelo y silvicultura","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa",1997,"co2",17545.1412700854
"uso del suelo, cambio de uso del suelo y silvicultura","conversion de bosques y pastizales","conversion de bosques y pastizales","conversion de bosques y pastizales",1997,"co2",56226.9514097991
"uso del suelo, cambio de uso del suelo y silvicultura","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas",1997,"co2",-13739.848888866
"uso del suelo, cambio de uso del suelo y silvicultura","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos",1997,"co2",25954.984935818
"desechos (ipcc 2006)","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos",1997,"co2",196.670882112377
"bunkers","aviación internacional","aviación internacional","aviación internacional",1997,"co2",2560.22153439997
"bunkers","navegación internacional","navegación internacional","navegación internacional",1997,"co2",59.2741730892449
"emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa",1997,"co2",37096.7406333333
"energía","consumo de combustibles fósiles","producción de electricidad","producción de electricidad",1998,"co2",100710.251037
"energía","consumo de combustibles fósiles","consumo propio","consumo propio",1998,"co2",37171.2253299805
"energía","consumo de combustibles fósiles","hierro y acero","hierro y acero",1998,"co2",11214.3756596961
"energía","consumo de combustibles fósiles","metales no ferrosos","metales no ferrosos",1998,"co2",238.340718
